Competitor,,Fran Times,Fran Times (Decimal),,,,,,,,,,,,,,,Clean & Jerk,,Snatch,,Deadlift,,Back Squat,,,,,,Age,Height,Weight
Zak Carchedi, Fran,0:02:30,0.001736111, Helen, 8:30, Grace, 1:45, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, 21:00, , Clean & Jerk,340, Snatch,275, Deadlift,515, Back Squat,475, Max Pull-ups,40, North Central, CrossFit Sioux Falls, CrossFit Sioux Falls,22,175,187
Roderick Holloway, Fran,0:02:09,0.001493056, Helen, 8:54, Grace, 1:36, Filthy 50, --, Fight Gone Bad,419, Sprint 400m, --, Run 5k, --, , Clean & Jerk,335, Snatch,280, Deadlift,465, Back Squat,425, Max Pull-ups,68, North Central, CrossFit Kirkwood, Male,28,178,200
Phillip Kniep, Fran,0:02:18,0.001597222, Helen, 7:16, Grace, 1:41, Filthy 50, 14:35, Fight Gone Bad,522, Sprint 400m, 1:05, Run 5k, 18:38, , Clean & Jerk,340, Snatch,275, Deadlift,550, Back Squat,465, Max Pull-ups,48, North Central, CrossFit Lincoln, CrossFit Lincoln,32,183,203
Justin Allen, Fran,0:02:11,0.001516204, Helen, 7:44, Grace, 1:15, Filthy 50, 0:00, Fight Gone Bad,451, Sprint 400m, 1:00, Run 5k, 21:12, , Clean & Jerk,350, Snatch,285, Deadlift,525, Back Squat,465, Max Pull-ups,60, North Central, CrossFit T-Town, CrossFit T-Town,29,183,208
Andrew Wissmann, Fran,0:02:47,0.00193287, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 1:05, Run 5k, --, , Clean & Jerk,345, Snatch,270, Deadlift,505, Back Squat,455, Max Pull-ups,47, North Central, CrossFit Lincoln, Male,27,178,210
Saxon Panchik, Fran,0:02:17,0.001585648, Helen, 7:18, Grace, 1:33, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:52, Run 5k, 19:12, , Clean & Jerk,300, Snatch,245, Deadlift,415, Back Squat,405, Max Pull-ups,62, Central East, CrossFit Mentality, CrossFit Mentality,19,173,165
Nick Bloch, Fran,0:02:20,0.00162037, Helen, 6:58, Grace, 1:03, Filthy 50, 17:23, Fight Gone Bad, --, Sprint 400m, 1:00, Run 5k, 19:30, , Clean & Jerk,365, Snatch,315, Deadlift,620, Back Squat,545, Max Pull-ups,50, North Central, CrossFit Fond du Lac, CrossFit Fond du Lac,29,183,219
Bobby Noyce, Fran,0:02:08,0.001481481, Helen, 6:30, Grace, 1:25, Filthy 50, 12:56, Fight Gone Bad,503, Sprint 400m, 0:56, Run 5k, 17:46, , Clean & Jerk,325, Snatch,270, Deadlift,545, Back Squat,415, Max Pull-ups,89, North Central, CrossFit 515, CrossFit 515,26,185,209
Kevin Schuetz, Fran,0:02:05,0.001446759, Helen, 7:41, Grace, 1:39, Filthy 50, 0:00, Fight Gone Bad,404, Sprint 400m, 0:00, Run 5k, 21:53, , Clean & Jerk,345, Snatch,300, Deadlift,575, Back Squat,440, Max Pull-ups,54, North Central, Koda CrossFit Norman, Koda CrossFit Norman,28,183,205
Dylan Kelly, Fran,0:02:34,0.001782407, Helen, 0:00, Grace, 1:47, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 1:15, Run 5k, 21:39, , Clean & Jerk,355, Snatch,275, Deadlift,525, Back Squat,445, Max Pull-ups,36, North Central, CrossFit COMO, CrossFit COMO,23,178,220
Chris Shimley, Fran,0:02:20,0.00162037, Helen, 7:29, Grace, 1:56, Filthy 50, 18:00, Fight Gone Bad,468, Sprint 400m, 0:00, Run 5k, 21:17, , Clean & Jerk,335, Snatch,255, Deadlift,505, Back Squat,490, Max Pull-ups,61, Central East, Top Fuel CrossFit Valparaiso, Male,24,173,193
